cpu_id,title,price,href,image
33,인텔 코어 울트라7 시리즈2265F(애로우레이크),510580,https://prod.danawa.com/info/?pcode=74122937&keyword=265F&cate=113973,https://img.danuri.io/catalog-image/937/122/074/4cfb925ce5ff4d5fa05ef04f8dd7be03.jpg
34,내셔널지오그래픽키즈 K265KCR100 키즈 슬림 미니크로스백,24650,https://prod.danawa.com/info/?pcode=100942430&keyword=265K&cate=16249155,https://img.danuri.io/catalog-image/430/942/100/bc172e2f2aaf4f38976552bc5c140140.jpg
35,인텔 코어 울트라7 시리즈2265KF(애로우레이크),476000,https://prod.danawa.com/info/?pcode=69059723&keyword=265KF&cate=113973,https://img.danuri.io/catalog-image/723/059/069/0e0953994b2d48eebcdb524dc9b73469.jpg
36,시마노 ZN-265T카디프 스트림 65S,15801,https://prod.danawa.com/info/?pcode=17535131&keyword=265T&cate=13225412,https://img.danuri.io/catalog-image/131/535/017/7faa6b74c6fd4f27954b6575afb61c87.jpg
37,오뚜기 쇠고기 라면 스프285g,2320,https://prod.danawa.com/info/?pcode=32664779&keyword=285&cate=16322263,https://img.danuri.io/catalog-image/779/664/032/27124a7928e744c7b52a6a7b09462534.jpg
38,인텔 코어 울트라9 시리즈2285K(애로우레이크),915750,https://prod.danawa.com/info/?pcode=69059459&keyword=285K&cate=113973,https://img.danuri.io/catalog-image/459/059/069/f596f70b1f41408199e406a42713293e.jpeg
39,인텔 코어 울트라9 시리즈2285T(애로우레이크),1012510,https://prod.danawa.com/info/?pcode=96583643&keyword=285T&cate=113973,https://img.danuri.io/catalog-image/643/583/096/02206308b8194098af65e9d286804cd0.jpg
40,몰텐 F4A3400-G,36000,https://prod.danawa.com/info/?pcode=15921284&keyword=3400G&cate=1326319,https://img.danuri.io/catalog-image/284/921/015/a38a154fcf384e64b83a56b9b6250689.jpg
41,삼성전자 블루스카이 5000/5500전용 CFX-D100D 일체형필터,13600,https://prod.danawa.com/info/?pcode=3764753&keyword=5500&cate=10348476,https://img.danuri.io/catalog-image/753/764/003/d97008b316044ca0aa1b6416b30b9b62.jpg
42,AMD 라이젠5-4세대5500GT(세잔),195350,https://prod.danawa.com/info/?pcode=54218171&keyword=5500GT&cate=113990,https://img.danuri.io/catalog-image/171/218/054/897e8c2c8f4b459eb9972f5f9a0bf661.jpg
43,AMD 라이젠5-4세대5600(버미어),163480,https://prod.danawa.com/info/?pcode=16741211&keyword=5600&cate=113990,https://img.danuri.io/catalog-image/211/741/016/adc88269a44341158839cad040af7b1c.jpg
44,G-SHOCK DW-B5600G-1,125158,https://prod.danawa.com/info/?pcode=119311956&keyword=5600G&cate=18355271,https://img.danuri.io/catalog-image/956/311/119/b031a05cc4c34f8d95dcd65021be2c63.jpg
