cpu_id,keyword,brand,series,benchmark,socket,price,href,image,performance_score,game_score,work_score,ai_score,value_score
35,265KF,Intel,Core Ultra 7,58538,LGA1851,476000,https://prod.danawa.com/info/?pcode=69059723&keyword=265KF&cate=113973,https://img.danuri.io/catalog-image/723/059/069/0e0953994b2d48eebcdb524dc9b73469.jpg,92.39,92.39,92.77,91.15,60.03
36,265T,Intel,Core Ultra 7,37663,LGA1851,15801,https://prod.danawa.com/info/?pcode=17535131&keyword=265T&cate=13225412,https://img.danuri.io/catalog-image/131/535/017/7faa6b74c6fd4f27954b6575afb61c87.jpg,78.7,78.7,79.76,78.83,60.71
37,285,Intel,Core Ultra 9,57535,LGA1851,2320,https://prod.danawa.com/info/?pcode=32664779&keyword=285&cate=16322263,https://img.danuri.io/catalog-image/779/664/032/27124a7928e744c7b52a6a7b09462534.jpg,91.74,91.74,92.15,90.57,67.44
38,285K,Intel,Core Ultra 9,67252,LGA1851,915750,https://prod.danawa.com/info/?pcode=69059459&keyword=285K&cate=113973,https://img.danuri.io/catalog-image/459/059/069/f596f70b1f41408199e406a42713293e.jpeg,98.11,98.11,98.2,96.3,60.02
39,285T,Intel,Core Ultra 9,40033,LGA1851,1012510,https://prod.danawa.com/info/?pcode=96583643&keyword=285T&cate=113973,https://img.danuri.io/catalog-image/643/583/096/02206308b8194098af65e9d286804cd0.jpg,80.25,80.25,81.24,80.23,60.01
40,3400G,AMD,Ryzen 5,9166,AM4,36000,https://prod.danawa.com/info/?pcode=15921284&keyword=3400G&cate=1326319,https://img.danuri.io/catalog-image/284/921/015/a38a154fcf384e64b83a56b9b6250689.jpg,60.0,60.0,62.0,62.0,60.07
41,5500,AMD,Ryzen 5,19252,AM4,13600,https://prod.danawa.com/info/?pcode=3764753&keyword=5500&cate=10348476,https://img.danuri.io/catalog-image/753/764/003/d97008b316044ca0aa1b6416b30b9b62.jpg,66.62,66.62,68.29,67.96,60.42
42,5500GT,AMD,Ryzen 5,18991,AM4,195350,https://prod.danawa.com/info/?pcode=54218171&keyword=5500GT&cate=113990,https://img.danuri.io/catalog-image/171/218/054/897e8c2c8f4b459eb9972f5f9a0bf661.jpg,66.45,66.45,68.13,67.81,60.02
43,5600,AMD,Ryzen 5,21510,AM4,163480,https://prod.danawa.com/info/?pcode=16741211&keyword=5600&cate=113990,https://img.danuri.io/catalog-image/211/741/016/adc88269a44341158839cad040af7b1c.jpg,68.1,68.1,69.69,69.29,60.03
44,5600G,AMD,Ryzen 5,19645,AM4,125158,https://prod.danawa.com/info/?pcode=119311956&keyword=5600G&cate=18355271,https://img.danuri.io/catalog-image/956/311/119/b031a05cc4c34f8d95dcd65021be2c63.jpg,66.88,66.88,68.54,68.19,60.04
45,5600GT,AMD,Ryzen 5,20141,AM4,204700,https://prod.danawa.com/info/?pcode=60167690&keyword=5600GT&cate=113990,https://img.danuri.io/catalog-image/690/167/060/a922a03bc40a4fca92cc948f0048d21a.jpg,67.2,67.2,68.84,68.48,60.02
